model_name,shot_strategy,planning,procedural,score_creative_alignment,score_instructional_precision,score_emergence,score_structural_coherence,score_programmatic_validation,score_tree_edit_distance,score_jaccard_similarity,param_nesting_complexity,param_component_complexity,procedural_code_hash,description_style,description_detail
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,1,0.5333,2,5,a8264f88d0b5af65c0e664685875d2e8a74710632ffc625af0d7babc796ac05e,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,9,0.25,2,5,a8264f88d0b5af65c0e664685875d2e8a74710632ffc625af0d7babc796ac05e,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,6,0.3529,2,5,a8264f88d0b5af65c0e664685875d2e8a74710632ffc625af0d7babc796ac05e,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,10,0.4,3,4,3f41d83aaeea25d80a1739975a1fe87258c0e217732678d83a95096a5b07b57d,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,3,0.4444,3,4,3f41d83aaeea25d80a1739975a1fe87258c0e217732678d83a95096a5b07b57d,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,10,0.2353,3,4,3f41d83aaeea25d80a1739975a1fe87258c0e217732678d83a95096a5b07b57d,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,15,0.2727,3,4,3f41d83aaeea25d80a1739975a1fe87258c0e217732678d83a95096a5b07b57d,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,7,0.3333,1,2,38dcadb8afabeaaf1d7df5740ac7f95dd6b1bb1574ba07d6459d25ab548e90dc,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,1,0.5714,1,2,38dcadb8afabeaaf1d7df5740ac7f95dd6b1bb1574ba07d6459d25ab548e90dc,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,6,0.1818,1,2,38dcadb8afabeaaf1d7df5740ac7f95dd6b1bb1574ba07d6459d25ab548e90dc,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,6,0.4444,1,2,38dcadb8afabeaaf1d7df5740ac7f95dd6b1bb1574ba07d6459d25ab548e90dc,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,8,0.5,5,2,39f8573601896922832c2f95dbc792c073ba6bb3e1f31345dd20856a5676bf12,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,0,0.5294,5,2,39f8573601896922832c2f95dbc792c073ba6bb3e1f31345dd20856a5676bf12,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,12,0.3333,5,2,39f8573601896922832c2f95dbc792c073ba6bb3e1f31345dd20856a5676bf12,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,12,0.4737,5,2,39f8573601896922832c2f95dbc792c073ba6bb3e1f31345dd20856a5676bf12,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,14,0.3333,5,1,b21dad717e2ddf0e8969e29b1c92a48eecee65d0bc095cecae99b2fa06c2a58f,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,0,1.0,5,1,b21dad717e2ddf0e8969e29b1c92a48eecee65d0bc095cecae99b2fa06c2a58f,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,19,0.1579,5,1,b21dad717e2ddf0e8969e29b1c92a48eecee65d0bc095cecae99b2fa06c2a58f,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,5,0.3913,5,1,b21dad717e2ddf0e8969e29b1c92a48eecee65d0bc095cecae99b2fa06c2a58f,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,10,0.5,4,2,f14e52e4792b27f045e96a6293471450bcc673095c45ee853dd8d167817a6dfd,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,2,0.5882,4,2,f14e52e4792b27f045e96a6293471450bcc673095c45ee853dd8d167817a6dfd,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,16,0.25,4,2,f14e52e4792b27f045e96a6293471450bcc673095c45ee853dd8d167817a6dfd,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,10,0.4211,4,2,f14e52e4792b27f045e96a6293471450bcc673095c45ee853dd8d167817a6dfd,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,16,0.4211,5,2,20bf580926646981ba54a64609abcd7a2810c223b77d8cee2401c9500aefbb8a,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,1,0.6364,5,2,20bf580926646981ba54a64609abcd7a2810c223b77d8cee2401c9500aefbb8a,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,17,0.3333,5,2,20bf580926646981ba54a64609abcd7a2810c223b77d8cee2401c9500aefbb8a,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Failed,33,0.5417,5,2,20bf580926646981ba54a64609abcd7a2810c223b77d8cee2401c9500aefbb8a,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,6,0.3333,2,2,364ad4f31c80335095cc6a54c9bd44584179a5bc00049912d6dc94e4f617e2f9,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,0,0.4545,2,2,364ad4f31c80335095cc6a54c9bd44584179a5bc00049912d6dc94e4f617e2f9,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Failed,8,0.2,2,2,364ad4f31c80335095cc6a54c9bd44584179a5bc00049912d6dc94e4f617e2f9,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,9,0.3333,2,2,364ad4f31c80335095cc6a54c9bd44584179a5bc00049912d6dc94e4f617e2f9,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,4,0.5,5,5,347d11e19e0b0f6782ffffb701b6f4eeb9d0a255be028b777c71a0e8cca46ae0,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,2,0.6154,5,5,347d11e19e0b0f6782ffffb701b6f4eeb9d0a255be028b777c71a0e8cca46ae0,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,9,0.1333,5,5,347d11e19e0b0f6782ffffb701b6f4eeb9d0a255be028b777c71a0e8cca46ae0,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,4,0.4167,5,5,347d11e19e0b0f6782ffffb701b6f4eeb9d0a255be028b777c71a0e8cca46ae0,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,18,0.35,4,5,5a07d4c7881a4868d382494ad97b131c2877dd26d0f1868c1e8d737cfcff31bc,technical,summary
